module,trait,correlation,n_events,p_value,FDR,absolute_correlation
MEblack,conductivity_7d_spline_mean,-0.9784616514917408,6,6.908548598426232e-4,0.025231319972174815,0.9784616514917408
MEblack,salinity_7d_spline_mean,-0.9779966473655888,6,7.208948563478518e-4,0.025231319972174815,0.9779966473655888
MEblack,month_Aug,0.8788061254621526,6,0.021141887736835112,0.49331071385948594,0.8788061254621526
MEyellow,DO_7d_mean,-0.8479128783668856,6,0.03293681383175996,0.5599195533885244,0.8479128783668856
MEgreen,month_Jul,0.8319370432455709,6,0.039994253813466024,0.5599195533885244,0.8319370432455709
MEblack,DO_7d_mean,-0.8056759083012833,6,0.05297376006670709,0.6180272007782494,0.8056759083012833
MEbrown,location_DAF,-0.7555747232511822,6,0.08231413672249537,0.6780390185844286,0.7555747232511822
MEyellow,conductivity_7d_spline_mean,-0.7501501739676564,6,0.08583897370666695,0.6780390185844286,0.7501501739676564
MEyellow,salinity_7d_spline_mean,-0.7470502352818134,6,0.08788305901407278,0.6780390185844286,0.7470502352818134
MEblue,month_Jun,0.7033182116692094,6,0.11897314739580289,0.6780390185844286,0.7033182116692094
MEblue,precipitation_7d_total_mm,-0.7017347143805659,6,0.120176105804629,0.6780390185844286,0.7017347143805659
MEturquoise,location_DAF,-0.6979762120456363,6,0.12305249414422456,0.6780390185844286,0.6979762120456363
MEturquoise,pH_7d_available_mean,0.767328587039753,5,0.12992068105997073,0.6780390185844286,0.767328587039753
MEgreen,temperature_7d_mean,0.6653207509058127,6,0.1492715548857058,0.6780390185844286,0.6653207509058127
MEgreen,pH_7d_available_mean,0.7178453166581138,5,0.1720961995372144,0.6780390185844286,0.7178453166581138
MEblack,precipitation_7d_total_mm,0.634059406311489,6,0.17636676397406592,0.6780390185844286,0.634059406311489
MEbrown,pH_7d_available_mean,0.7109872436984583,5,0.17820609153303124,0.6780390185844286,0.7109872436984583
MEblue,location_DAF,0.6299989320523703,6,0.1800244661199008,0.6780390185844286,0.6299989320523703
MEblack,pH_7d_available_mean,-0.7045024287694386,5,0.18403916218720207,0.6780390185844286,0.7045024287694386
MEyellow,pH_7d_available_mean,-0.6761551453877985,5,0.21014901867908214,0.7130781133841884,0.6761551453877985
MEyellow,location_DAF,0.5938649226889321,6,0.2139234340152565,0.7130781133841884,0.5938649226889321
MEgreen,month_Aug,-0.5467856830436718,6,0.26155898627329827,0.7620405671113666,0.5467856830436718
MEblue,month_Aug,-0.520733345993615,6,0.2895018458229333,0.7620405671113666,0.520733345993615
MEgreen,conductivity_7d_spline_mean,0.5073935061422081,6,0.3042235056188844,0.7620405671113666,0.5073935061422081
MEgreen,salinity_7d_spline_mean,0.507207337594814,6,0.30443089168739146,0.7620405671113666,0.507207337594814
MEred,location_DAF,0.5020354213494195,6,0.3102132624032696,0.7620405671113666,0.5020354213494195
MEturquoise,month_Aug,0.4996510650679024,6,0.31289264309405734,0.7620405671113666,0.4996510650679024
MEgreen,location_DAF,-0.4860709117376895,6,0.3283143876625951,0.7620405671113666,0.4860709117376895
MEbrown,month_Jul,0.4835476787517862,6,0.33120964391218244,0.7620405671113666,0.4835476787517862
MEturquoise,precipitation_7d_total_mm,0.48245794005029313,6,0.33246291128861577,0.7620405671113666,0.48245794005029313
MEbrown,DO_7d_mean,0.4702078588642521,6,0.34666861620252376,0.7620405671113666,0.4702078588642521
MEblack,month_Jun,-0.4687602622588069,6,0.3483614021080533,0.7620405671113666,0.4687602622588069
MEyellow,month_Aug,0.45668812076948134,6,0.3625921785101507,0.7687970219233746,0.45668812076948134
MEblue,temperature_7d_mean,-0.44481130916528594,6,0.37678757426072,0.7687970219233746,0.44481130916528594
MEturquoise,month_Jun,-0.438507735697421,6,0.3843985109616873,0.7687970219233746,0.438507735697421
MEblack,month_Jul,-0.4100458632033458,6,0.4194032708953647,0.8155063600743203,0.4100458632033458
MEbrown,conductivity_7d_spline_mean,0.391792037773357,6,0.4423821783040684,0.8177126655951548,0.391792037773357
MEbrown,salinity_7d_spline_mean,0.390596412212048,6,0.44390116132308405,0.8177126655951548,0.390596412212048
MEblue,pH_7d_available_mean,-0.43166060954655466,5,0.4679727974020096,0.8270922468933617,0.43166060954655466
MEblack,location_DAF,0.3682266261337272,6,0.47262414108192097,0.8270922468933617,0.3682266261337272
MEyellow,precipitation_7d_total_mm,0.347407764926162,6,0.49985304853984686,0.853407643848519,0.347407764926162
MEblue,salinity_7d_spline_mean,0.32704684091868197,6,0.5269201441771112,0.8655094439817931,0.32704684091868197
MEblue,conductivity_7d_spline_mean,0.3235055207114797,6,0.5316700870173872,0.8655094439817931,0.3235055207114797
MEred,DO_7d_mean,-0.2999314009423911,6,0.5635936398310986,0.8798972152022286,0.2999314009423911
MEbrown,temperature_7d_mean,0.2937625403852074,6,0.5720315186932952,0.8798972152022286,0.2937625403852074
MEgreen,month_Jun,-0.28515136020189913,6,0.5838659733414708,0.8798972152022286,0.28515136020189913
MEred,month_Aug,-0.2788786185558226,6,0.5925267251518285,0.8798972152022286,0.2788786185558226
MEyellow,month_Jun,-0.27104526242612637,6,0.6033883488704039,0.8798972152022286,0.27104526242612637
MEbrown,month_Aug,-0.2604574717304685,6,0.6181482617049865,0.8798972152022286,0.2604574717304685
MEred,precipitation_7d_total_mm,-0.25307060575960977,6,0.6284980108587348,0.8798972152022286,0.25307060575960977
MEgreen,DO_7d_mean,0.2286739857911789,6,0.6629679075382076,0.8812200357416231,0.2286739857911789
MEbrown,month_Jun,-0.22309020702131768,6,0.6709162045477642,0.8812200357416231,0.22309020702131768
MEturquoise,salinity_7d_spline_mean,-0.1957522078477072,6,0.7101221954977277,0.8812200357416231,0.1957522078477072
MEturquoise,conductivity_7d_spline_mean,-0.19157955939494903,6,0.716146407096566,0.8812200357416231,0.19157955939494903
MEyellow,month_Jul,-0.185642858343355,6,0.7247346425395562,0.8812200357416231,0.185642858343355
MEblue,month_Jul,-0.1825848656755945,6,0.7291661386071231,0.8812200357416231,0.1825848656755945
MEred,month_Jun,0.1756966901824772,6,0.7391667840121383,0.8812200357416231,0.1756966901824772
MEred,pH_7d_available_mean,-0.1967099395803518,5,0.7511658760479796,0.8812200357416231,0.1967099395803518
